Bridge_ID,Condition,Longitude,Latitude
1,Good,-80.8524,26.7271
2,Fair,-80.1915,26.8362
3,Fair,-80.0933,26.7649
4,Good,-80.0978,26.8155
5,Good,-80.0717,26.7003
6,Good,-80.0696,26.5723
7,Fair,-80.1561,26.8126
8,Fair,-80.3125,26.6836
9,Fair,-80.1285,26.6781
10,Good,-80.1098,26.678
11,Fair,-80.0786,26.7811
12,Good,-80.1309,26.8191
13,Fair,-80.1628,26.6853
14,Fair,-80.0565,26.7245
15,Good,-80.0769,26.7251
16,Good,-80.1464,26.4242
17,Good,-80.1471,26.5391
18,Good,-80.147,26.4836
19,Good,-80.1472,26.4835
20,Good,-80.1225,26.484
21,Good,-80.1227,26.484
22,Good,-80.1227,26.5389
23,Good,-80.0931,26.4691
24,Good,-80.0934,26.4691
25,Fair,-80.09,26.4838
26,Good,-80.0897,26.4838
27,Good,-80.2029,26.3496
28,Good,-80.1466,26.4242
29,Good,-80.122,26.4243
30,Good,-80.1473,26.5391
31,Good,-80.1704,26.3502
32,Good,-80.1704,26.3503
33,Good,-80.1291,26.3505
34,Good,-80.0908,26.5393
35,Good,-80.0922,26.4246
36,Good,-80.098,26.3504
37,Good,-80.0981,26.3505
38,Good,-80.1742,26.6508
39,Fair,-80.0896,26.5795
40,Good,-80.1285,26.652
41,Fair,-80.203,26.6508
42,Good,-80.1141,26.6036
43,Good,-80.1472,26.6025
44,Good,-80.0657,26.7056
45,Good,-80.066,26.7056
46,Good,-80.145,26.6702
47,Good,-80.1452,26.6702
48,Good,-80.145,26.6702
49,Good,-80.0777,26.7251
50,Good,-80.0881,26.7663
51,Good,-80.1054,26.8291
52,Good,-80.0882,26.7588
53,Good,-80.1298,26.844
54,Good,-80.1558,26.9393
55,Good,-80.1314,26.8033
56,Good,-80.1727,26.5389
57,Good,-80.1726,26.4837
58,Good,-80.1761,26.4572
59,Good,-80.1763,26.4574
60,Good,-80.1745,26.4537
61,Good,-80.1666,26.6791
62,Good,-80.1735,26.5904
63,Good,-80.1733,26.5904
